Symbol,NSE_Categories
ABB,NIFTY ENERGY
ABBOTINDIA,NIFTY PHARMA
ABREL,NIFTY REALTY
ADANIENSOL,NIFTY ENERGY
ADANIENT,"NIFTY 50,NIFTY METAL"
ADANIGREEN,NIFTY ENERGY
ADANIPORTS,NIFTY 50
ADANIPOWER,NIFTY ENERGY
AEGISLOG,"NIFTY ENERGY,NIFTY SMALLCAP 50"
AFFLE,NIFTY SMALLCAP 50
AJANTPHARM,NIFTY PHARMA
ALKEM,"NIFTY PHARMA,NIFTY MIDCAP 50"
AMBER,NIFTY SMALLCAP 50
ANANDRATHI,NIFTY SMALLCAP 50
ANANTRAJ,NIFTY REALTY
ANGELONE,NIFTY SMALLCAP 50
APLAPOLLO,"NIFTY METAL,NIFTY MIDCAP 50"
APOLLOHOSP,NIFTY 50
ARE&M,NIFTY SMALLCAP 50
ASHOKLEY,"NIFTY AUTO,NIFTY MIDCAP 50"
ASIANPAINT,NIFTY 50
ASTERDM,NIFTY SMALLCAP 50
ATGL,NIFTY ENERGY
AUBANK,"NIFTY BANK,NIFTY MIDCAP 50"
AUROPHARMA,"NIFTY PHARMA,NIFTY MIDCAP 50"
AXISBANK,"NIFTY 50,NIFTY BANK"
BAJAJ-AUTO,"NIFTY 50,NIFTY AUTO"
BAJAJFINSV,NIFTY 50
BAJFINANCE,NIFTY 50
BANDHANBNK,NIFTY SMALLCAP 50
BANKBARODA,NIFTY BANK
BEL,NIFTY 50
BHARATFORG,"NIFTY AUTO,NIFTY MIDCAP 50"
BHARTIARTL,NIFTY 50
BHEL,"NIFTY ENERGY,NIFTY MIDCAP 50"
BIOCON,NIFTY PHARMA
BOSCHLTD,NIFTY AUTO
BPCL,NIFTY ENERGY
BRIGADE,NIFTY REALTY
BRITANNIA,NIFTY FMCG
BSE,NIFTY MIDCAP 50
CAMS,NIFTY SMALLCAP 50
CANBK,NIFTY BANK
CASTROLIND,"NIFTY ENERGY,NIFTY SMALLCAP 50"
CDSL,NIFTY SMALLCAP 50
CESC,"NIFTY ENERGY,NIFTY SMALLCAP 50"
CGPOWER,NIFTY ENERGY
CHOLAHLDNG,NIFTY SMALLCAP 50
CIPLA,"NIFTY 50,NIFTY PHARMA"
COALINDIA,"NIFTY 50,NIFTY ENERGY"
COFORGE,"NIFTY IT,NIFTY MIDCAP 50"
COHANCE,NIFTY SMALLCAP 50
COLPAL,"NIFTY FMCG,NIFTY MIDCAP 50"
CROMPTON,NIFTY SMALLCAP 50
CUB,NIFTY SMALLCAP 50
DABUR,"NIFTY FMCG,NIFTY MIDCAP 50"
DELHIVERY,NIFTY SMALLCAP 50
DIVISLAB,NIFTY PHARMA
DIXON,NIFTY MIDCAP 50
DLF,NIFTY REALTY
DRREDDY,"NIFTY 50,NIFTY PHARMA"
EICHERMOT,"NIFTY 50,NIFTY AUTO"
EMAMILTD,NIFTY FMCG
ENRIN,NIFTY ENERGY
ETERNAL,NIFTY 50
EXIDEIND,NIFTY AUTO
FEDERALBNK,"NIFTY BANK,NIFTY MIDCAP 50"
FIVESTAR,NIFTY SMALLCAP 50
FORTIS,NIFTY MIDCAP 50
GAIL,NIFTY ENERGY
GLAND,"NIFTY PHARMA,NIFTY SMALLCAP 50"
GLENMARK,NIFTY PHARMA
GMRAIRPORT,NIFTY MIDCAP 50
GODREJCP,NIFTY FMCG
GODREJPROP,"NIFTY REALTY,NIFTY MIDCAP 50"
GRASIM,NIFTY 50
GSPL,NIFTY ENERGY
GVT&D,NIFTY ENERGY
HAVELLS,NIFTY MIDCAP 50
HCLTECH,"NIFTY 50,NIFTY IT"
HDFCBANK,"NIFTY 50,NIFTY BANK"
HDFCLIFE,NIFTY 50
HEROMOTOCO,"NIFTY AUTO,NIFTY MIDCAP 50"
HINDALCO,"NIFTY 50,NIFTY METAL"
HINDCOPPER,"NIFTY METAL,NIFTY SMALLCAP 50"
HINDPETRO,"NIFTY ENERGY,NIFTY MIDCAP 50"
HINDUNILVR,"NIFTY 50,NIFTY FMCG"
HINDZINC,NIFTY METAL
HSCL,NIFTY SMALLCAP 50
ICICIBANK,"NIFTY 50,NIFTY BANK"
ICICIGI,NIFTY MIDCAP 50
IDFCFIRSTB,"NIFTY BANK,NIFTY MIDCAP 50"
IGL,"NIFTY ENERGY,NIFTY SMALLCAP 50"
IIFL,NIFTY SMALLCAP 50
INDIGO,NIFTY 50
INDUSINDBK,"NIFTY BANK,NIFTY MIDCAP 50"
INDUSTOWER,NIFTY MIDCAP 50
INFY,"NIFTY 50,NIFTY IT"
INOXWIND,"NIFTY ENERGY,NIFTY SMALLCAP 50"
IOC,NIFTY ENERGY
IPCALAB,NIFTY PHARMA
ITC,"NIFTY 50,NIFTY FMCG"
JBCHEPHARM,NIFTY PHARMA
JINDALSTEL,NIFTY METAL
JIOFIN,NIFTY 50
JPPOWER,NIFTY ENERGY
JSL,NIFTY METAL
JSWENERGY,NIFTY ENERGY
JSWSTEEL,"NIFTY 50,NIFTY METAL"
KARURVYSYA,NIFTY SMALLCAP 50
KAYNES,NIFTY SMALLCAP 50
KEC,NIFTY SMALLCAP 50
KFINTECH,NIFTY SMALLCAP 50
KOTAKBANK,"NIFTY 50,NIFTY BANK"
LALPATHLAB,NIFTY SMALLCAP 50
LAURUSLABS,"NIFTY PHARMA,NIFTY MIDCAP 50"
LLOYDSME,NIFTY METAL
LODHA,NIFTY REALTY
LT,NIFTY 50
LTM,NIFTY IT
LUPIN,"NIFTY PHARMA,NIFTY MIDCAP 50"
M&M,"NIFTY 50,NIFTY AUTO"
MANAPPURAM,NIFTY SMALLCAP 50
MANKIND,"NIFTY PHARMA,NIFTY MIDCAP 50"
MARICO,"NIFTY FMCG,NIFTY MIDCAP 50"
MARUTI,"NIFTY 50,NIFTY AUTO"
MAXHEALTH,NIFTY 50
MCX,NIFTY MIDCAP 50
MFSL,NIFTY MIDCAP 50
MGL,NIFTY ENERGY
MOTHERSON,NIFTY AUTO
MPHASIS,"NIFTY IT,NIFTY MIDCAP 50"
NATCOPHARM,NIFTY SMALLCAP 50
NATIONALUM,NIFTY METAL
NAUKRI,NIFTY MIDCAP 50
NAVINFLUOR,NIFTY SMALLCAP 50
NBCC,NIFTY SMALLCAP 50
NESTLEIND,"NIFTY 50,NIFTY FMCG"
NEULANDLAB,NIFTY SMALLCAP 50
NH,NIFTY SMALLCAP 50
NHPC,"NIFTY ENERGY,NIFTY MIDCAP 50"
NIFTY 50,NIFTY 50
NIFTY AUTO,NIFTY AUTO
NIFTY BANK,NIFTY BANK
NIFTY ENERGY,NIFTY ENERGY
NIFTY FMCG,NIFTY FMCG
NIFTY IT,NIFTY IT
NIFTY METAL,NIFTY METAL
NIFTY MIDCAP 50,NIFTY MIDCAP 50
NIFTY PHARMA,NIFTY PHARMA
NIFTY REALTY,NIFTY REALTY
NIFTY SMALLCAP 50,NIFTY SMALLCAP 50
NLCINDIA,NIFTY ENERGY
NMDC,"NIFTY METAL,NIFTY MIDCAP 50"
NTPC,"NIFTY 50,NIFTY ENERGY"
NTPCGREEN,NIFTY ENERGY
NYKAA,NIFTY MIDCAP 50
OBEROIRLTY,NIFTY REALTY
OFSS,NIFTY IT
OIL,"NIFTY ENERGY,NIFTY MIDCAP 50"
ONGC,"NIFTY 50,NIFTY ENERGY"
PATANJALI,NIFTY FMCG
PAYTM,NIFTY MIDCAP 50
PERSISTENT,"NIFTY IT,NIFTY MIDCAP 50"
PETRONET,NIFTY ENERGY
PGEL,NIFTY SMALLCAP 50
PHOENIXLTD,"NIFTY REALTY,NIFTY MIDCAP 50"
PIRAMALFIN,NIFTY SMALLCAP 50
PNB,NIFTY BANK
PNBHOUSING,NIFTY SMALLCAP 50
POLICYBZR,NIFTY MIDCAP 50
POLYCAB,NIFTY MIDCAP 50
POONAWALLA,NIFTY SMALLCAP 50
POWERGRID,"NIFTY 50,NIFTY ENERGY"
POWERINDIA,NIFTY ENERGY
PPLPHARMA,"NIFTY PHARMA,NIFTY SMALLCAP 50"
PRESTIGE,"NIFTY REALTY,NIFTY MIDCAP 50"
RADICO,NIFTY FMCG
RBLBANK,NIFTY SMALLCAP 50
REDINGTON,NIFTY SMALLCAP 50
RELIANCE,"NIFTY 50,NIFTY ENERGY"
RPOWER,"NIFTY ENERGY,NIFTY SMALLCAP 50"
SAIL,NIFTY METAL
SAILIFE,NIFTY SMALLCAP 50
SBICARD,NIFTY MIDCAP 50
SBILIFE,NIFTY 50
SBIN,"NIFTY 50,NIFTY BANK"
SHRIRAMFIN,NIFTY 50
SIEMENS,NIFTY ENERGY
SJVN,NIFTY ENERGY
SOBHA,NIFTY REALTY
SONACOMS,"NIFTY AUTO,NIFTY SMALLCAP 50"
SRF,NIFTY MIDCAP 50
SUNPHARMA,"NIFTY 50,NIFTY PHARMA"
SUPREMEIND,NIFTY MIDCAP 50
SUZLON,"NIFTY ENERGY,NIFTY MIDCAP 50"
SWIGGY,NIFTY MIDCAP 50
SYNGENE,NIFTY SMALLCAP 50
TATACHEM,NIFTY SMALLCAP 50
TATACONSUM,"NIFTY 50,NIFTY FMCG"
TATAPOWER,NIFTY ENERGY
TATASTEEL,"NIFTY 50,NIFTY METAL"
TATATECH,NIFTY SMALLCAP 50
TCS,"NIFTY 50,NIFTY IT"
TECHM,"NIFTY 50,NIFTY IT"
THERMAX,NIFTY ENERGY
TIINDIA,"NIFTY AUTO,NIFTY MIDCAP 50"
TITAN,NIFTY 50
TMPV,"NIFTY 50,NIFTY AUTO"
TORNTPHARM,NIFTY PHARMA
TORNTPOWER,NIFTY ENERGY
TRENT,NIFTY 50
TVSMOTOR,NIFTY AUTO
UBL,NIFTY FMCG
ULTRACEMCO,NIFTY 50
UNIONBANK,NIFTY BANK
UNITDSPR,NIFTY FMCG
UNOMINDA,NIFTY AUTO
UPL,NIFTY MIDCAP 50
VBL,NIFTY FMCG
VEDL,NIFTY METAL
WAAREEENER,NIFTY MIDCAP 50
WELCORP,"NIFTY METAL,NIFTY SMALLCAP 50"
WIPRO,"NIFTY 50,NIFTY IT"
WOCKPHARMA,"NIFTY PHARMA,NIFTY SMALLCAP 50"
YESBANK,"NIFTY BANK,NIFTY MIDCAP 50"
ZYDUSLIFE,NIFTY PHARMA
