Symbol,Company,Sector,Industry,Market_Cap,Net_Profit_Cr,ROCE_Pct,ROE_Pct,Debt_to_Equity,Latest_Q_Profit_Cr,Public_Holding_Pct,Is_Bank_Finance,Is_PSU,Is_Highest_Quarter,Passes_Criteria
20MICRONS,20 Microns Limited,Basic Materials,Other Industrial Metals & Mining,7114852352,62.38,9.02,14.79,0.3564,17.4,42.55,False,False,False,False
21STCENMGM,Twentyfirst Century Management Services Limited,Financial Services,Capital Markets,497384992,12.34,-13.92,-28.15,0.0,7.89,28.52,True,False,False,False
360ONE,360 One Wam Limited,Financial Services,Asset Management,479394332672,1015.3,7.48,16.99,1.4724,284.67,63.64,True,False,False,True
3IINFOLTD,3i Infotech Limited,Technology,Information Technology Services,3365357824,25.35,-1.7,23.16,0.1076,18.43,77.91,False,False,False,False
3MINDIA,3M India Limited,Industrials,Conglomerates,392362393600,476.07,19.19,33.83,0.0642,177.69,23.52,False,False,False,False
3PLAND,3P Land Holdings Ltd,Unknown,Unknown,0,2.09,0.0,0.0,0.0,0.37,0.0,False,False,False,False
5PAISA,5paisa Capital Limited,Financial Services,Capital Markets,11674140672,68.23,2.55,7.87,0.4639,11.55,34.58,True,False,False,False
63MOONS,63 moons technologies limited,Technology,Software - Application,31319148544,33.17,-4.56,-1.77,0.0015,3.01,39.28,False,False,False,False
A2ZINFRA,A2Z Infra Engineering Limited,Industrials,Engineering & Construction,2624907008,8.97,1.58,-1.86,3.5389,1.73,60.07,False,False,False,False
AAATECH,AAA Technologies Limited,Technology,Information Technology Services,1262028800,3.51,5.82,11.72,0.0,0.81,57.81,False,False,False,False
AADHARHFC,AADHARHFC,Financial Services,Mortgage Finance,211692601344,911.83,4.28,15.48,2.5535,266.47,24.42,True,False,False,False
AAKASH,Aakash Exploration Services Limited,Energy,Oil & Gas Equipment & Services,872774976,1.84,1.76,2.23,0.5368,0.28,30.45,False,False,False,False
AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,Healthcare,Drug Manufacturers - Specialty & Generic,1923839488,4.02,0.95,2.52,0.3827,1.02,45.71,False,False,False,False
AARON,Aaron Industries Limited,Industrials,Specialty Industrial Machinery,3535555840,8.24,9.78,16.94,0.7244,1.39,26.78,False,False,False,False
AARTECH,Aartech Solonics Limited,Industrials,Electrical Equipment & Parts,1743240448,2.76,5.07,9.07,0.1597,2.16,28.37,False,False,False,False
AARTIDRUGS,Aarti Drugs Limited,Healthcare,Drug Manufacturers - Specialty & Generic,35870420992,168.16,6.24,14.49,0.3905,45.28,41.16,False,False,False,False
AARTIIND,Aarti Industries Limited,Basic Materials,Specialty Chemicals,133723709440,330.87,3.09,5.21,0.6956,43.0,56.88,False,False,False,False
AARTIPHARM,Aarti Pharmalabs Limited,Healthcare,Drug Manufacturers - Specialty & Generic,66204250112,272.4,7.26,12.29,0.3297,27.92,53.06,False,False,False,False
AARTISURF,Aarti Surfactants Limited,Basic Materials,Specialty Chemicals,3184107776,14.54,4.25,6.54,0.4993,1.56,44.54,False,False,False,False
AARVI,Aarvi Encon Limited,Industrials,Staffing & Employment Services,2020179328,10.04,5.11,11.41,0.2418,4.8,26.55,False,False,False,False
AAVAS,Aavas Financiers Limited,Financial Services,Mortgage Finance,115594174464,574.11,3.32,13.82,3.0797,163.93,49.39,True,False,False,False
ABAN,Aban Offshore Limited,Energy,Oil & Gas Drilling,1092015104,889.39,2.76,0.0,0.0,307.44,50.53,False,False,False,False
ABB,ABB India Limited,Industrials,Specialty Industrial Machinery,1064330723328,1871.64,0.0,0.0,0.0102,351.74,24.27,False,False,False,False
ABBOTINDIA,Abbott India Limited,Healthcare,Drug Manufacturers - Specialty & Generic,602205192192,1414.44,20.24,40.07,0.0455,415.27,24.5,False,False,False,True
ABCAPITAL,Aditya Birla Capital Limited,Financial Services,Financial Conglomerates,939600969728,3332.32,1.2,10.34,4.5978,835.08,31.41,True,False,False,True
ABCOTS,ABCOTS,Consumer Cyclical,Textile Manufacturing,9035833344,10.21,7.04,12.7,0.9303,3.62,8.26,False,False,False,False
ABDL,ABDL,Consumer Defensive,Beverages - Wineries & Distilleries,144106668032,194.86,7.74,17.04,0.6674,56.56,19.68,False,False,False,False
ABFRL,Aditya Birla Fashion and Retail Limited,Consumer Cyclical,Apparel Manufacturing,91385987072,375.82,-1.75,-14.87,0.8468,233.73,47.12,False,False,False,False
ABINFRA,ABINFRA,Industrials,Engineering & Construction,12309471232,16.12,8.48,15.86,0.5809,2.13,27.58,False,False,False,False
ABLBL,ABLBL,Consumer Cyclical,Apparel Retail,143510781952,0.0,0.0,0.0,2.6681,24.06,57.48,False,False,False,False
ABMINTLLTD,ABM International Limited,Basic Materials,Specialty Chemicals,372368672,1.36,-9.22,-28.39,1.0945,0.41,5.97,False,True,False,False
ABREL,Aditya Birla Real Estate Limited,Real Estate,Real Estate Services,180607680512,161.28,-0.83,-7.03,1.4458,25.47,52.75,False,False,False,False
ABSLAMC,Aditya Birla Sun Life AMC Limited,Financial Services,Asset Management,236495732736,930.6,21.37,28.41,0.0193,277.11,52.75,True,False,False,False
ACC,ACC Limited,Basic Materials,Building Materials,323836542976,2402.12,6.24,18.21,0.0244,375.38,37.92,False,False,False,False
ACCELYA,Accelya Solutions India Limited,Technology,Information Technology Services,19809056768,129.02,0.0,0.0,0.2234,29.61,21.33,False,False,False,False
ACCURACY,Accuracy Shipping Limited,Industrials,Integrated Freight & Logistics,838619200,4.65,3.69,2.28,1.1193,0.6,36.0,False,False,False,False
ACE,Action Construction Equipment Limited,Industrials,Farm & Heavy Construction Machinery,111148294144,409.22,11.05,26.39,0.0801,97.72,31.43,False,False,False,False
ACEINTEG,Ace Integrated Solutions Limited,Industrials,Staffing & Employment Services,218178000,1.56,-10.08,-10.69,0.0064,0.04,25.95,False,False,False,False
ACI,Archean Chemical Industries Limited,Basic Materials,Chemicals,63526690816,162.15,6.03,9.31,0.1478,29.09,46.39,False,False,False,False
ACL,Andhra Cements Limited,Basic Materials,Building Materials,6430301696,152.11,-4.19,-105.03,12.2206,29.62,10.0,False,False,False,False
ACMESOLAR,ACMESOLAR,Utilities,Utilities - Renewable,138761486336,252.11,4.3,14.24,2.7178,130.83,16.55,False,False,False,False
ACUTAAS,Acutaas Chemicals Limited,Basic Materials,Specialty Chemicals,142306033664,158.71,10.8,16.9,0.0058,44.29,58.51,False,False,False,False
ADANIENSOL,Adani Energy Solutions Limited,Utilities,Utilities - Independent Power Producers,1194435411968,1059.97,5.87,10.54,1.8665,512.48,27.1,False,False,False,False
ADANIENT,Adani Enterprises Limited,Energy,Thermal Coal,2861998800896,7099.0,2.64,15.82,1.7777,0.0,31.33,False,False,False,False
ADANIGREEN,Adani Green Energy Limited,Utilities,Utilities - Renewable,1629303734272,1444.0,4.02,8.98,2.9622,713.0,16.89,False,False,False,False
ADANIPORTS,Adani Ports and Special Economic Zone Limited,Industrials,Marine Shipping,3376099885056,11092.31,7.34,18.59,0.8156,3314.59,35.52,False,False,False,False
ADANIPOWER,Adani Power Limited,Utilities,Utilities - Independent Power Producers,2755590094848,12938.77,8.61,19.98,0.8125,3384.86,27.16,False,False,False,False
ADFFOODS,ADF Foods Limited,Consumer Defensive,Packaged Foods,22444032000,69.26,9.0,15.48,0.1073,26.39,33.34,False,False,False,False
ADL,Archidply Decor Limited,Consumer Cyclical,"Furnishings, Fixtures & Appliances",420752832,0.06,0.65,0.01,0.371,0.14,17.2,False,False,False,False
ADOR,Ador Welding Limited,Industrials,Specialty Industrial Machinery,18777638912,60.05,6.44,11.3,0.004,3.95,35.66,False,False,False,False
ADROITINFO,Adroit Infotech Limited,Technology,Information Technology Services,570747968,0.69,-1.61,2.12,0.2936,0.77,50.49,False,False,False,False
ADSL,Allied Digital Services Limited,Technology,Information Technology Services,8279319552,27.81,1.92,6.17,0.1771,15.42,46.83,False,False,False,False
ADVANCE,ADVANCE,Basic Materials,Agricultural Inputs,8271001088,25.64,0.0,0.0,0.7976,0.0,19.91,False,False,False,False
ADVANIHOTR,Advani Hotels & Resorts (India) Limited,Consumer Cyclical,Lodging,5260674560,26.44,17.07,34.86,0.0058,0.98,16.77,False,False,False,False
ADVENTHTL,Advent Hotels International Limited,Consumer Cyclical,Resorts & Casinos,12867255296,0.01,1.27,1.47,0.8009,0.0,0.01,False,True,False,False
ADVENZYMES,Advanced Enzyme Technologies Limited,Basic Materials,Specialty Chemicals,33717948416,131.12,6.89,10.32,0.0226,43.33,32.95,False,False,False,False
AEGISLOG,AEGISLOG,Energy,Oil & Gas Refining & Marketing,262297944064,663.38,5.74,13.47,0.2845,179.63,34.42,False,False,False,False
AEGISVOPAK,AEGISVOPAK,Energy,Oil & Gas Equipment & Services,261596807168,86.54,0.0,0.0,0.4227,53.94,12.5,False,False,False,False
AEQUS,AEQUS,Industrials,Aerospace & Defense,93879894016,102.35,0.0,0.0,1.08,0.0,13.43,False,False,False,False
AEROENTER,Aeroflex Enterprises Limited,Basic Materials,Steel,9478507520,53.12,6.09,9.19,0.0539,13.97,29.87,False,False,False,False
AEROFLEX,Aeroflex Industries Limited,Industrials,Metal Fabrication,24313522176,52.51,9.02,14.16,0.0258,7.17,30.02,False,False,False,False
AERONEU,Aeroflex Neu Limited,Consumer Cyclical,Packaging & Containers,1909926400,0.2,0.28,1.6,0.2716,1.02,11.31,False,False,False,False
AETHER,Aether Industries Limited,Basic Materials,Specialty Chemicals,130743394304,158.42,6.01,8.73,0.0924,53.96,25.0,False,False,False,False
AFCONS,AFCONS,Industrials,Engineering & Construction,138158292992,486.81,3.36,10.94,0.6614,105.41,43.6,False,False,False,False
AFFLE,Affle 3i Limited,Communication Services,Advertising Agencies,252077948928,381.87,7.61,14.09,0.0118,105.5,43.62,False,False,False,False
AFFORDABLE,Affordable Robotic & Automation Limited,Industrials,Specialty Industrial Machinery,2244079872,11.65,1.94,1.5,0.6915,3.69,42.76,False,False,False,False
AFIL,AFIL,Financial Services,Credit Services,2634871808,33.23,5.3,9.52,0.9575,10.04,60.76,True,False,False,False
AFSL,Abans Financial Services Limited,Financial Services,Capital Markets,10192558080,108.51,3.68,11.11,0.5754,38.19,14.43,True,False,False,False
AGARIND,Agarwal Industrial Corporation Limited,Basic Materials,Specialty Chemicals,10895253504,115.69,6.21,13.63,0.6348,11.99,36.07,False,False,False,False
AGARWALEYE,AGARWALEYE,Healthcare,Medical Instruments & Supplies,159480905728,83.46,4.62,8.13,0.4868,30.05,18.52,False,False,False,False
AGI,AGI Greenpac Limited,Consumer Cyclical,Packaging & Containers,46380085248,322.41,8.94,17.05,0.2088,88.85,29.13,False,False,False,False
AGIIL,AGI Infra Limited,Real Estate,Real Estate - Development,35502215168,66.66,4.98,25.87,0.4233,22.05,12.61,False,False,False,False
AGRITECH,Agri-tech (India) Limited,Consumer Defensive,Farm Products,903652224,1.11,0.0,0.0,0.0,0.02,0.0,False,False,False,False
AGROPHOS,Agro Phos (India) Limited,Basic Materials,Agricultural Inputs,772443776,7.68,11.9,17.26,0.3709,2.47,55.39,False,False,False,False
AGSTRA,AGS Transact Technologies Limited,Technology,Software - Infrastructure,525509568,80.09,0.0,0.0,1.9996,194.26,68.98,False,False,False,False
AHCL,AHCL,Healthcare,Drug Manufacturers - Specialty & Generic,7669761536,20.52,0.0,0.0,0.2698,9.32,14.88,False,False,False,False
AHLADA,Ahlada Engineers Limited,Industrials,Building Products & Equipment,778748672,3.71,1.97,1.69,0.2699,0.44,50.97,False,False,False,False
AHLEAST,Asian Hotels (East) Limited,Consumer Cyclical,Lodging,2500958976,17.52,3.16,0.6,1.5475,0.0,24.12,False,False,False,False
AHLUCONT,Ahluwalia Contracts (India) Limited,Industrials,Engineering & Construction,61779275776,202.08,5.87,14.63,0.0388,78.57,36.3,False,False,False,False
AIAENG,AIA Engineering Limited,Industrials,Specialty Industrial Machinery,378796703744,1060.74,8.5,16.35,0.1385,277.44,32.16,False,False,False,False
AIIL,Authum Investment & Infrastructure Limited,Financial Services,Capital Markets,530955567104,4241.41,23.56,27.51,0.2029,766.87,19.53,True,False,False,True
AIRAN,Airan Limited,Technology,Information Technology Services,2157845248,18.48,3.87,1.62,0.0068,0.75,27.74,False,False,False,False
AIROLAM,Airo Lam Limited,Consumer Cyclical,"Furnishings, Fixtures & Appliances",1486248192,2.7,4.05,10.35,1.1764,2.78,69.93,False,False,False,False
AJANTPHARM,Ajanta Pharma Limited,Healthcare,Drug Manufacturers - Specialty & Generic,354742534144,920.39,14.32,24.37,0.057,255.34,33.5,False,False,False,False
AJAXENGG,AJAXENGG,Industrials,Farm & Heavy Construction Machinery,68295139328,260.1,13.1,22.33,0.0004,39.07,17.91,False,False,False,False
AJMERA,Ajmera Realty & Infra India Limited,Real Estate,Real Estate - Development,38412541952,125.94,6.84,10.55,0.4719,30.37,23.75,False,False,False,False
AJOONI,Ajooni Biotech Limited,Consumer Defensive,Packaged Foods,725145536,3.37,3.13,4.55,0.0988,1.54,50.99,False,False,False,False
AKASH,Akash Infra-Projects Limited,Industrials,Engineering & Construction,488170432,0.89,1.86,1.85,1.0289,1.09,24.96,False,False,False,False
AKG,AKG Exim Limited,Industrials,Industrial Distribution,397524960,0.86,1.81,1.26,0.2064,0.11,75.88,False,False,False,False
AKI,AKI India Limited,Consumer Cyclical,Footwear & Accessories,647240704,1.68,1.52,2.07,0.2603,0.77,34.85,False,False,False,False
AKSHAR,Akshar Spintex Limited,Consumer Cyclical,Textile Manufacturing,393734240,4.45,-5.62,-10.44,0.0575,1.97,106.41,False,False,False,False
AKSHARCHEM,AksharChem (India) Limited,Basic Materials,Specialty Chemicals,1882155136,4.77,0.94,0.73,0.2844,1.37,28.76,False,False,False,False
AKSHOPTFBR,Aksh Optifibre Limited,Technology,Communication Equipment,1002219456,25.97,-2.76,-179.52,0.0,3.05,72.19,False,False,False,False
AKUMS,AKUMS,Healthcare,Drug Manufacturers - Specialty & Generic,68677177344,338.18,3.85,10.75,0.0285,40.78,19.85,False,False,False,False
AKZOINDIA,Akzo Nobel India Limited,Basic Materials,Specialty Chemicals,143957491712,429.5,8.99,108.16,0.0316,91.0,33.37,False,False,False,False
ALANKIT,Alankit Limited,Technology,Information Technology Services,2862409984,19.86,0.53,6.55,0.0741,4.33,53.78,False,False,False,False
ALBERTDAVD,Albert David Limited,Healthcare,Drug Manufacturers - Specialty & Generic,4298337280,17.2,-2.36,-3.74,0.1051,3.3,35.93,False,False,False,False
ALEMBICLTD,Alembic Limited,Real Estate,Real Estate - Development,25298145280,310.68,2.07,13.55,0.005,128.49,26.46,False,False,False,False
ALGOQUANT,Algoquant Fintech Limited,Financial Services,Capital Markets,0,31.89,1.38,20.72,0.2375,6.29,0.0,True,False,False,False
